Product,China,Euro Area,Japan,Mexico,Pacific,Canada,Middle East,Lat. America
Computer,-151.9,3.4,-8,-11,-26.1,20.9,5.8,12.1
"Oil, Gas, Minerals",1.9,6.4,2.4,-20.8,1.1,-79.8,-45.1,-15.9
Transportation,10.9,-30.9,-46.2,-59.5,-0.5,-6.1,17.1,8.8
Apparel,-56.3,-4.9,0.6,-4.2,-6.3,2.5,-0.3,-1.1
Electrical Equipment,-35.9,-2.4,-4,-8.5,-3.3,10,1.8,2
Misc. Manufacturing,-35.3,4.9,2.7,-2.8,-1.4,5.8,-1.5,1.8
Furniture,-18.3,-1.2,0,-1.6,-2.1,0.4,0.2,0
Machinery,-19.9,-27,-18.8,3.9,7.6,18.1,4.5,9.1
Primary Metals,-3.1,3.1,-1.8,1,1.9,-8.9,-0.9,-10.4
Fabricated Metals,-17.9,-5.9,-3.5,2.8,-4.3,7.3,1.2,1.9
Plastics,-15.7,-1.9,-2,5.7,-4.1,2.6,-0.1,0.5
Textile,-12.3,-1.1,-0.3,2.8,-4.6,1.5,-0.9,0.2
"Beverages, Tobacco",1.3,-9.9,0.6,-3.3,0,1,0.2,-0.6
Nonmetallic Minerals,-6.1,-1.9,-0.4,-1.2,0.1,1.9,-0.5,-0.8
Paper,-2.7,1.2,1.1,4.3,1.2,-9.8,0.9,-1.9
Chemical,-3.9,-39.5,-1.5,19.1,3.2,4.6,-2.4,15.8
Food,0.7,-3.6,6.1,4.9,0.9,0.1,1.4,-1.1
Agriculture,17.8,6.2,7.3,-3,5.7,-0.8,2.8,-6.5
Petroleum,0.6,-1.2,0.1,16.6,-2,-0.1,0.6,18.3
